highlights,Summary,Transformed_summary
"Mohammed Ali Malek, 27, has been charged with multiple manslaughter .
Arrived in Malta on Italian rescue ship with bodies of 24 migrant victims .
He was arrested alongside his 26-year-old Syrian 'smuggler accomplice'
Prosecutors say Malek crashed into ship which had come to its rescue .
Migrants then shifted position as result of collision, causing it to capsize .","Arrived Malta Italian rescue ship bodies 24 migrant victims . Mohammed Ali Malek , 27 , charged multiple manslaughter .","Arrived Malta Italian rescue ship bodies 24 migrant victims. Mohammed Ali Malek, 27, charged multiple manslaughter. Mohammed Ali. Malek, 27, charged multiple. manslaughter.. Mohammed. Ali Maleks, 27, has been charged. with multiple manslaughter."
"Lippert, 42, suffered deep gashes to his hand when he was assaulted by knife-wielding nationalist Kim Ki-Jong in central Seoul last month .
'It is an amazing apparatus, one I haven't seen before - so innovative and creative,' he wrote on Facebook .","'It amazing apparatus , one n't seen - innovative creative , ' wrote Facebook . Lippert , 42 , suffered deep gashes hand assaulted knife-wielding nationalist Kim Ki-Jong central Seoul last month .","'It amazing apparatus, onen't seen - innovative creative,'wrote Facebook. Lippert, 42, suffered deep gashes hand assaulted knife-wielding nationalist Kim Ki-Jong central Seoul last month. 'It is amazing apparatus... one n' seen - Innovative creative,' wrote Facebook."
"Alastair Cook completed his century on the second morning of action .
England captain resumed on 95 and reached three figures before retiring .
That allowed Ian Bell to arrive at the crease as tourists continued to bat .",England captain resumed 95 reached three figures retiring . Alastair Cook completed century second morning action .,England captain resumed 95 reached three figures retiring. Alastair Cook completed century second morning action. England skipper resumed 95 reaching three figures. England captain reached three hundred in first morning action in second morning. Alistair Cook reached 95 in second day of morning action for England.
"U.S. hostage Warren Weinstein is believed to have been accidentally killed in counter-terrorism strike .
Peter Bergen: U.S. should rethink hostage policy to increase chances of freeing those held .",Peter Bergen : U.S. rethink hostage policy increase chances freeing held . U.S. hostage Warren Weinstein believed accidentally killed counter-terrorism strike .,"Peter Bergen: U.S. rethink hostage policy increase chances of freeing held hostage Warren Weinstein believed accidentally killed counter-terrorism strike. Peter Bergen is the host of CNN.com's ""This is Life with Peter Bergan"" a weekly, offbeat look at life in the world of television and radio."
"Sofia Davila, 21, nicknamed the 'Black Widow of Facebook' over crimes .
Caught after going to police, claiming she was forced out her victim's flat .
She has admitted bedding and robbing 15 men after spiking their drinks .","Caught going police , claiming forced victim 's flat . Sofia Davila , 21 , nicknamed 'Black Widow Facebook ' crimes .","Caught going police, claiming forced victim's flat. Sofia Davila, 21, nicknamed 'Black Widow Facebook'crimes is caught going police. Sofia. Davila, 21, is caught. going police, claiming. forced victim ‘s flat."
"Australian Fashion Report revealed the Australian-sold brands and companies that ignore the exploitation of their overseas workers .
Lowes, Industrie, Best & Less and the Just Group - which includes Just Jeans, Portmans and Dotti - were  some of the worst performers .
Etiko, Audrey Blue, Cotton On, H&M and Zara had some of the best scores .
75 per cent of companies don't know the source of all their fabrics and inputs .","Lowes , Industrie , Best & Less Group - includes Jeans , Portmans Dotti - worst performers . Australian Fashion Report revealed Australian-sold brands companies ignore exploitation overseas workers .","Lowes, Industrie, Best & Less Group - includes Jeans, Portmans Dotti - worst performers. Australian Fashion Report revealed Australian-sold brands companies ignore exploitation overseas workers. Lowes is one of the worst performers in the Australian fashion industry.."
"Arsenal take on Stoke City in Barclays Under 21 Premier League clash .
Jack Wilshere and club captain Mikel Arteta have been out since November .
Abou Diaby has been ravaged by injuries during nine-year spell at club .
Arteta, Wilshere and Diaby are all close to first-team returns .
Young winger Serge Gnabry also in the side on return from injury .
READ: Arsenal's Alex Oxlade-Chamberlain, Calum Chambers, Jack Wilshere and Danny Welbeck keep their agents close .
CLICK HERE for all the latest Arsenal news .",Jack Wilshere club captain Mikel Arteta since November . Arsenal take Stoke City Barclays 21 Premier League clash .,Jack Wilshere club captain Mikel Arteta since November. Arsenal take Stoke City Barclays 21 Premier League clash on Saturday. Jack Wilsheres club captain is club captain since November. Mikel arteta club captain has been out since November with a knee injury. Arsenal beat Stoke City 1-0 in Barclays 21 Barclays 21
"Prasanna Arulchelvam leapt into van as it sped away but was pushed out .
His head hit the ground with a 'nasty crunch' and he died 11 days later .
A gang tried to steal cigarettes from the victim's van before he gave chase .
All three have now been jailed, including the man who pushed Mr Prasanna .",head hit ground 'nasty crunch ' died 11 days later . Prasanna Arulchelvam leapt van sped away pushed .,head hit ground 'nasty crunch'died 11 days later. Prasanna Arulchelvam leapt van sped away pushed pushed pushed.head hit. ground ‘nastyCrunch ‘ died 11. days later. Prasanna ArulChelvam. leapt van. sped away.
"Smoke from massive fires in Siberia created fiery sunsets in the Pacific Northwest .
Atmospheric winds carried smoke from the wildfires across the Pacific Ocean .
Smoke particles altered wavelengths from the sun, creating a more intense color .",Atmospheric winds carried smoke wildfires across Pacific Ocean . Smoke massive fires Siberia created fiery sunsets Pacific Northwest .,Atmospheric winds carried smoke wildfires across Pacific Ocean. Smoke massive fires Siberia created fiery sunsets Pacific Northwest. Smoke from fires in Siberia created a fiery sunset Pacific Northwest sunsets. smoke from smoke wildfires in Pacific Ocean caused a fiery sunset Pacific Northwest sunset.
"Scientists say camel was left in Tulln after the 1683 siege of Vienna .
It would have shocked residents as camels were an alien species .
'They didn't know what to feed it or whether one could eat it,' study said .
Ottoman army used camels for transportation and as riding animals .",would shocked residents camels alien species . Scientists say camel left Tulln 1683 siege Vienna .,. would shocked residents camels alien species. Scientists say camel left Tulln 1683 siege Vienna.. Scientists say. camels would shocked resident camels in Tullin 1683 Siege Vienna. would shocked. camel left. camel in 1683. camel.
"Ben Affleck admits he asked PBS show ""Finding Your Roots"" to avoid mentioning his slave-owning ancestor .
Dean Obeidallah says the actor and the show were right to leave the detail out .",Dean Obeidallah says actor show right leave detail . Ben Affleck admits asked PBS show `` Finding Roots '' avoid mentioning slave-owning ancestor .,Dean Obeidallah says actor show right leave detail. Ben Affleck admits asked PBS show to avoid mentioning slave-owning ancestor. Affleck asked that the show avoid mentioning a slave- owning ancestor. Dean O beidallah: Affleck is right to leave detail detail.
"Mered Medhanie and Ermias Ghermay 'have made £72m in last two years'
Medhanie heard on police wiretap mocking the fatal overcrowding of ships .
Ghermay reportedly said: 'I don't know what happened, they probably died'
Pair wanted over major smuggling ring, but are hiding in lawless Libya .","Ghermay reportedly said : ' n't know happened , probably died' Pair wanted major smuggling ring , hiding lawless Libya . Mered Medhanie Ermias Ghermay 'have made £72m last two years' Medhanie heard police wiretap mocking fatal overcrowding ships .","Ghermay reportedly said :'n't know happened, probably died' Pair wanted major smuggling ring, hiding lawless Libya. Mered Medhanie heard police wiretap mocking fatal overcrowding ships. Ghermay 'have made £72m last two years'"
"Beatrice seen watching race on terrace with the Gulf state's Crown Prince .
Marks 13th holiday since November last year, and fourth in a month .
Princess quit her job at Sony Pictures in New York before Christmas .
Despite that she is described as working full-time on her father's website .","Marks 13th holiday since November last year , fourth month . Beatrice seen watching race terrace Gulf state 's Crown Prince .","Marks 13th holiday since November last year, fourth month. Beatrice seen watching race terrace Gulf state's Crown Prince and is seen with the Crown Prince of the Gulf state and his wife Beatrice was seen watching the race on the terrace."
"Justice Dept. sent 7-page letter to House Speaker John Boehner explaining why the former IRS official was allowed to plead the Fifth Amendment .
Federal prosecutor in charge of the case sent his decision to Capitol Hill on the last day before his own resignation took effect .
Lerner offered a self-serving opening statement during a 2013 hearing, but refused to take questions even though she was under subpoena .
Hearing focused on the IRS's habit of targeting conservative groups with special scrutiny based on words like 'patriots' or 'tea party' in their names .
The DOJ says she can't be prosecuted for defying the subpoena 'because she made only general claims of innocence' and offered few details .",sent 7-page letter House Speaker John Boehner explaining former IRS official allowed plead Fifth Amendment . Justice Dept .,sent 7-page letter House Speaker John Boehner explaining former IRS official allowed plead Fifth Amendment.. Justice Dept. sent 7- page letter. House Speaker. John Boehner. explained former IRS. official allowed to plead Fifth. Amendment. Justice Dept.. sent a letter.
"Obama's point man in ISIS fight doesn't rule out U.S. military action beyond Iraq and Syria .
Brett McGurk: Iraqi leader making progress with Sunni tribes in planned Anbar offensive .",Brett McGurk : Iraqi leader making progress Sunni tribes planned Anbar offensive . Obama 's point man ISIS fight n't rule U.S. military action beyond Iraq Syria .,"Brett McGurk: Iraqi leader making progress. Sunni tribes planned Anbar offensive. Obama's point man ISIS fightn't rule out U.S. military action beyond Iraq Syria. ISIS is a threat to all of us, says Brett McGurK."
"Farage claims PM has been secretly using hair dye to turn back the years .
He said: 'Any man who can reverse the greying process I’m jealous of'
The PM has been accused of visiting stylists to keep hair looking youthful .",said : 'Any man reverse greying process ’ jealous of' PM accused visiting stylists keep hair looking youthful . Farage claims PM secretly using hair dye turn back years .,said : 'Any man reverse greying process ’ jealous of' PM accused visiting stylists keep hair looking youthful. Farage claims PM secretly using hair dye turn back years and is 'jealous of' hair dye. 'Any. man reverse Greying process'jealous of’ PM.
"Bomb expert David Hyche created the eggs when his daughter turned blind .
The children follow sound of a beeper in a plastic egg, trade it for candy .
He has now passed on the idea to Alabama Institute for Deaf and Blind .","children follow sound beeper plastic egg , trade candy . Bomb expert David Hyche created eggs daughter turned blind .","children follow sound beeper plastic egg, trade candy. Bomb expert David Hyche created eggs daughter turned blind.. Bomb experts created. eggs daughter became blind after eating them.. Bomb. experts created a. egg daughter turnedblind after eating it.. A bomb expert created."
"David Messerschmitt, 30, who met his wife in college, had been using Craigslist to solicit men, according to an affidavit on Tuesday .
Jamyra Gallmon, 21, 'contacted victim using a masculine-sounding email address and went to hotel with the intention of robbing him'
The pair got into a struggle on February 9 and she stabbed him repeatedly in the abdomen, back and groin .
The lawyer was found dead at the upscale Washington DC hotel after being reported missing by his wife .
Gallmon made an initial appearance on the murder charge Superior Court in DC on Thursday .","Jamyra Gallmon , 21 , 'contacted victim using masculine-sounding email address went hotel intention robbing him' pair got struggle February 9 stabbed repeatedly abdomen , back groin . David Messerschmitt , 30 , met wife college , using Craigslist solicit men , according affidavit Tuesday .","Jamyra Gallmon, 21, 'contacted victim using masculine-sounding email address went hotel intention robbing him' pair got struggle February 9 stabbed repeatedly abdomen, back groin. David Messerschmitt, 30, met wife college, using Craigslist solicit men, according affidavit Tuesday."
"Serial killer Peter Sutcliffe, 68, was jailed for life for murdering 13 women .
Held at Broadmoor since being diagnosed with paranoid schizophrenia .
He is now being considered for a move to the low-security Priory unit .","Held Broadmoor since diagnosed paranoid schizophrenia . Serial killer Peter Sutcliffe , 68 , jailed life murdering 13 women .","Held Broadmoor since diagnosed paranoid schizophrenia.. Has been held since diagnosed with paranoid schizophrenia.. Has held since. diagnosed paranoid schizophrenic schizophrenia. Has. held since since. has. been diagnosed paranoid. schizophrenia. Serial killer Peter Sutcliffe., 68, jailed life murdering 13 women."
"ISIS has announced that all nurses working for them must speak English .
Rule was one of the entry requirements for a new nursing school in Raqqa .
NHS has also attempted to introduce English language checks for nurses .
But despite the law being approved, a lengthy consultation process means EU-trained nurses are still being employed without English tests .",Rule one entry requirements new nursing school Raqqa . ISIS announced nurses working must speak English .,Rule one entry requirements new nursing school Raqqa. ISIS announced nurses working must speak English. ISIS announced. nurses working in Raqqa have to speak English.. ISIS. announced nurses. working must speaks English.. ISIS has announced nurses in Raqqa must speak. English.
"Kevin Streelman beat Camilo Villegas on third play-off hole at Augusta .
Tiger Woods played in the par-three contest for the first time since 2004 .
Jack Nicklaus recorded his first ever hole-in-one at the Masters .",Tiger Woods played par-three contest first time since 2004 . Kevin Streelman beat Camilo Villegas third play-off hole Augusta .,Tiger Woods played par-three contest first time since 2004. Kevin Streelman beat Camilo Villegas third play-off hole Augusta. Tiger Woods played golf for the first time in four years at Augusta for first time. Woods won his first golf tournament since 2004 at Augusta.
"Boy, five, pelts police with stones as Palestinian protesters clash with Israeli police on the northern West Bank .
Violence erupted after more than 100 demonstrators took part in a rally to mark Palestinian Prisoners Day .
Israel has arrested around 800,000 Palestinians in the occupied territories since 1967 with 6,000 currently being held .","Violence erupted 100 demonstrators took part rally mark Palestinian Prisoners Day . Boy , five , pelts police stones Palestinian protesters clash Israeli police northern West Bank .","Violence erupted 100 demonstrators took part rally mark Palestinian Prisoners Day. Boy, five, pelts police stones stones Palestinian protesters clash Israeli police northern West Bank. Boy, five, pelts. police stones. Palestinian protesters. clash Israeli. police. stones Palestinian. protesters."
"Fulham 2-2 Wigan Athletic: CLICK HERE to read the match report .
Latics came from behind twice to stun the Cottagers .
Gary Caldwell admitted his first taste of management was 'crazy'",Latics came behind twice stun Cottagers . Fulham 2-2 Wigan Athletic : CLICK read match report .,Latics came behind twice stun Cottagers. Fulham 2-2 Wigan Athletic : CLICK read match report to read Fulham’s match report from Wigan. CLICK read the Fulham vs. Wigan fightback report to see how Fulham fought back from 2-0 down to draw.
"Melbourne penthouse apartment was sold to Chinese businessman for $25 million .
Penthouse is in Australia 108 development at Melbourne's Southbank .
The 750 square metre apartment is spread across entire 100th floor of super skyscraper .
The building will be 319 metres tall - the highest in the southern hemisphere .
Construction has started on the building and is due to be complete in 2019 .",Penthouse Australia 108 development Melbourne 's Southbank . Melbourne penthouse apartment sold Chinese businessman $ 25 million .,Penthouse Australia 108 development Melbourne's Southbank sold Chinese businessman $ 25 million for $ 25.5 million. penthouse apartment sold by a Chinese businessman for $25 million for a penthouse in Melbourne's Southbank area.. The penthouse is one of the most expensive apartments in the world.
"Jet Set Candy's Marry British Royalty Spinner Charm comes in 14K gold vermeil and sterling silver and retails for $198 and $148, respectively .","Jet Set Candy 's Marry British Royalty Spinner Charm comes 14K gold vermeil sterling silver retails $ 198 $ 148 , respectively .",Jet Set Candy's Marry British Royalty Spinner Charm comes 14K gold vermeil sterling silver retails $ 198 $ 148 $ 148 or $ 198. Jet Set Candy ’s. Marry. British. Royalty. Spinner. Charm comes. 14K. gold ver meil sterlingSilver retails. $ 198
"Pit crew member Todd Phillips was hit by a car on Sunday during the inaugural IndyCar Grand Prix of Louisiana .
He was injured when he was struck by the car of Francesco Dracone, who had come in on Lap 25 for tires and fuel .
Phillips received stitches for a cut on his leg and has been released .
Dracone did not finish the race and wound up 23rd .","injured struck car Francesco Dracone , come Lap 25 tires fuel . Pit crew member Todd Phillips hit car Sunday inaugural IndyCar Grand Prix Louisiana .","injured struck car Francesco Dracone, come Lap 25 tires fuel. Pit crew member Todd Phillips hit car Sunday inaugural IndyCar Grand Prix Louisiana.. Pit crew members Todd Phillips and Todd Phillips struck car Sunday in the inaugural Indy car Grand Prix of Louisiana."
"Photos taken for BBC show Being Human see Aidan Turner with a full 'rug'
...but his chest hair in Poldark's shirtless scenes looks distinctly pruned .
Fans take to Twitter to comment on new Poldark male grooming debate .
Aidan admits he uses baby oil to make his muscles look good in the series .",Fans take Twitter comment new Poldark male grooming debate . Photos taken BBC show Human see Aidan Turner full 'rug' ... chest hair Poldark 's shirtless scenes looks distinctly pruned .,Fans take Twitter comment new Poldark male grooming debate. Photos taken BBC show Human see Aidan Turner full 'rug'... chest hair. Poldarks's shirtless scenes looks distinctly pruned. Poldrack's Shirtless scenes has been pruned.
"Miliband overtakes David Cameron as the most popular political leader .
It is the first time that Labour leader has been ahead in approval ratings .
Labour Party has also taken a commanding four point lead over the Tories .",first time Labour leader ahead approval ratings . Miliband overtakes David Cameron popular political leader .,first time Labour leader ahead approval ratings ahead of approval ratings. Miliband overtakes David Cameron popular political leader.. Miliband is the first time a Labour leader has been ahead of the approval ratings of their party leader ahead of their first time in office.. Miliband becomes the first Labour leader to be ahead of David Cameron ahead of his approval ratings.
"#a**holeparents is a hashtag on Instagram to expose 'flawed parenting'
Parents posts pictures of their children crying with the hashtag .
Children are shown crying because they are being fed and cleaned .
'I wouldn't let her have a knife,' captioned one snap of a child sobbing .
The hashtag has almost 4000 posts from parents all over the world .",Children shown crying fed cleaned . # * * holeparents hashtag Instagram expose 'flawed parenting' Parents posts pictures children crying hashtag .,Holeparents hashtag Instagram expose 'flawed parenting' is a a a holeparents hashtag. holeparents. hashtag is a hashtag used by holeparents Instagram expose. 'Flawed Parenting' is. a a hashtag.. is is is an a holeparent. hashtag. is.
"Cro Cop enjoyed revenge with third round knockout in Krakow .
Referee stepped in after Filipovic dropped Gabriel Gonzaga to floor .
Jimi Manuwa made successful return by outpointing Jan Blachowicz .",Referee stepped Filipovic dropped Gabriel Gonzaga floor . Cro Cop enjoyed revenge third round knockout Krakow .,Referee stepped Filipovic dropped Gabriel Gonzaga floor. Cro Cop enjoyed revenge third round knockout Krakow.. Referee stepped. Filip Filip Filipovic. dropped Gabriel. Gonzaga. floor. Cro Cop. enjoyed revenge. third round knock out Krakows.
"James Corden shared the picture on Thursday via Twitter .
Corden is currently in America filming late-night talk show Late Late .
David Beckham was a guest on the 36-year-old's show last month .",Corden currently America filming late-night talk show Late Late . James Corden shared picture Thursday via Twitter .,Corden is currently America filming late-night talk show Late Late. James Corden shared picture Thursday via Twitter via Twitter. James is currently in America filming Late Late with his talk show The Late Late Late Show with James CordEN. James shared picture via Twitter on Thursday.
"Paulo Dybala is being tracked by Manchester United, Chelsea and Arsenal .
Inter Milan, Juventus and Paris Saint-Germain are among others interested .
Inter boss Roberto Mancini was spotted at the Palermo match on Sunday .
Palermo president Maurizio Zamparini is demanding £36m from PSG .
READ: Dybala says he would love a Serie A stay .","Inter Milan , Juventus Paris Saint-Germain among others interested . Paulo Dybala tracked Manchester United , Chelsea Arsenal .","Inter Milan, Juventus Paris Saint-Germain among others interested. Paulo Dybala tracked Manchester United, Chelsea Arsenal and Arsenal. Inter Milan, Juventus and Juventus are among the clubs interested in signing Paulo DyBala. Manchester United, Chelsea and Arsenal are also interested in the midfielder."
"Main roads in Holborn are closed more than 24 hours after fire broke out .
More than 1,000 buildings remain without power as a result of the blaze .
Local businesses, government offices and tourist attractions are closed .
Commuters have been warned to avoid the area as witnesses describe long queues of buses .","1,000 buildings remain without power result blaze . Main roads Holborn closed 24 hours fire broke .","1,000 buildings remain without power result blaze. Main roads Holborn closed 24 hours fire broke. Main roads. Holborn. closed for 24 hours after fire broke out in a house fire in Holborn, Holborn is. a. fire broke. in a. house fire. in the. village."
"Boca Juniors defeated Palestino 2-0 with two late second-half goals .
Leandro Marin and Jonatan Calleri were both on the scoresheet .
Boca now face arch rivals River Plate in the Copa Libertadores last 16 .",Leandro Marin Jonatan Calleri scoresheet . Boca Juniors defeated Palestino 2-0 two late second-half goals .,Leandro Marin Jonatan Calleri scoresheet. Boca Juniors defeated Palestino 2-0 two late second-half goals. Leandro Marin. Jonatan. Calleri scored the only goal of the game for BocaJuniors in the second half.
"Gianni Paladini has registered as director of Bradford's holding company .
The Italian has been searching for new club since leaving QPR in 2011 .
Paladini made attempt to buy Birmingham and has been linked with Millwall .",Italian searching new club since leaving QPR 2011 . Gianni Paladini registered director Bradford 's holding company .,Italian searching new club since leaving QPR 2011. Gianni Paladini registered director Bradford's holding company. Italian is a registered director of Bradford holding company and is also a director of QPR holding company QPR Holding Company and QPR Football Club.
"Lee Tomlin's superb solo effort gave Middlesbrough a 50th minute lead .
Patrick Bamford doubled the hosts lead on 66 minutes .
Bamford could have made it 3-0 but saw his penalty saved late on .
Win moves Middlesbrough on to 78 points in the Championship in fourth .",Patrick Bamford doubled hosts lead 66 minutes . Lee Tomlin 's superb solo effort gave Middlesbrough 50th minute lead .,Patrick Bamford doubled hosts lead 66 minutes. Lee Tomlin's superb solo effort gave Middlesbrough 50th minute lead. Patrick Bamford doubles hosts lead with 66th minute strike. Lee. Tomlin ’s superb. solo effort was superb solo. effort was Lee.
"James May reveals he celebrated prematurely by ordering £200,000 Ferrari .
Lucrative contract was in a draft form with only a few details to resolve .
But offer was taken away after Clarkson's infamous 'fracas' with producer .
May said trio planned to continue making show before leaving 'with dignity'","Lucrative contract draft form details resolve . James May reveals celebrated prematurely ordering £200,000 Ferrari .","Lucrative contract draft form details resolve. James May reveals celebrated prematurely ordering £200,000 Ferrari. James May. reveals celebrated. prematurely ordering a Ferrari. May reveals. he celebrated prematurely. ordering a. Ferrari. May reveals he. celebrated. he. ordered a Ferrari."
"Steven Finn was left out of the England squad for the West Indies tour .
The Middlesex quick bowler has regained form after a tough 12 months .
Finn said he's back to bowling like he was as 'a carefree 21-year-old'
His last of 23 Test caps came for England back in 2013 .",Middlesex quick bowler regained form tough 12 months . Steven Finn left England squad West Indies tour .,Middlesex quick bowler regained form tough 12 months. Steven Finn left England squad West Indies tour. Steven Finn has been called up to the England squad for the tour of the West Indies. Finn will miss out on the tour after being left out of the squad.
"Tom Lineham scored two interception tries in an eye-catching display .
Jamie Shaul also crossed late on for the home side .
Kevin Brown and Patrick Ah Van replied for Widnes .",Jamie Shaul also crossed late home side . Tom Lineham scored two interception tries eye-catching display .,Jamie Shaul also crossed late for the home side. Tom Lineham scored two interception tries eye-catching display for the hosts. Jamie Shaul was also on target for the away side as they held on for a late win. Tom lineham scored a brace of interception tries for the visitors.
"Current federal government guidelines dictate the people should limit their salt intake to 2,300 milligrams .
Scientists now believe a typical healthy person can consume as much as 6,000 milligrams per day without significantly raising health risks .
The same skeptics also warn of the health risks associated with consuming less than 3,000 milligrams .
Average American ingests about 3,500 milligrams of salt per day .","Scientists believe typical healthy person consume much 6,000 milligrams per day without significantly raising health risks . Current federal government guidelines dictate people limit salt intake 2,300 milligrams .","Scientists believe typical healthy person consume much 6,000 milligrams per day without significantly raising health risks. Current federal government guidelines dictate people limit salt intake 2,300 milligram a day and limit sugar intake to 2,200 milligraphic a day."
"The men are current or former Florida prison guards .
They are charged with one count of conspiracy to commit murder .",charged one count conspiracy commit murder . men current former Florida prison guards .,charged one count conspiracy commit murder. men current former Florida prison guards are charged with conspiracy to commit murder. The men are two current former prison guards who are currently serving time in a Florida prison for a murder conviction. The. men are charged. with conspiracy. to. commit murder
"Ex-Liverpool boss told he would need to see a dietician before appointment .
Benitez was often mocked as a 'fat Spanish waiter' during his Anfield reign .
Ferrero addresses talk of job swap with Sinisa Mihajlovic heading to Napoli .
Mihajlovic has guided Sampdoria to the brink of European qualification .",Benitez often mocked 'fat Spanish waiter ' Anfield reign . Ex-Liverpool boss told would need see dietician appointment .,Benitez often mocked 'fat Spanish waiter'during his Anfield reign. Ex-Liverpool boss told would need see dietician appointment. Benitez was told he would need to see a dietician as he was 'too fat' to be Liverpool boss.
"Ex deputy PM said there was no problem with Charles writing to ministers .
Admitted Charles had sent him a lot of letters while he was in government .
Released two, including one condolence letter over death of his mother .
Comes after court ruled Charles's letters to ministers should be published .",Admitted Charles sent lot letters government . Ex deputy PM said problem Charles writing ministers .,Admitted Charles sent a lot letters government. Ex deputy PM said problem Charles writing ministers is a problem Charles wrote ministers. Ex Deputy PM said Charles wrote a lot of letters to his ministers and wrote them to the Prime Minister and other ministers. He also wrote letters to other ministers and other government ministers.
